codfao;Ltclass;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
RJC;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RJC;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RJC;26;0;0;0;0;53.761394;0;0;0;0;0;0;0;0;0;0
RJC;27;0;0;468.1873486;0;0;0;0;0;104.3748913;0;0;0;0;0;0
RJC;28;0;0;0;0;0;0;0;0;47.89497179;0;0;0;0;0;0
RJC;29;0;97.217225;0;28.5104142;0;0;35.50000863;0;0;0;0;0;0;0;0
RJC;30;0;0;787.5522379;89.37649985;34.00109891;0;0;0;0;0;0;0;0;0;0
RJC;31;0;0;993.2221743;86.56432364;0;109.7341566;68.75246563;0;0;0;0;0;511.348784;0;0
RJC;32;0;0;526.5321415;233.9947329;41.57532816;251.7118584;0;62.207162;85.34323473;0;0;0;0;0;0
RJC;33;0;306.465906;554.9558795;211.1086711;47.96448114;96.3249983;0;0;0;0;0;0;0;0;0
RJC;34;0;209.248682;325.0854916;243.4643426;453.4661956;230.7118648;33.252457;0;0;100.896826;0;0;0;0;0
RJC;35;185.554139;398.442009;128.2864733;383.2042374;502.7730433;68.325357;33.252457;203.8952117;40.354142;51.7837516;98.130108;0;0;0;0
RJC;36;185.554139;20.92116375;783.9403427;523.4009431;448.7052397;105.2633942;0;186.621485;934.861264;109.5977945;89.09891487;0;0;0;0
RJC;37;371.108278;1633.280858;430.7812519;2419.910202;733.6985406;377.5439509;71.00001727;328.3095347;1973.564646;0;0;0;0;0;0
RJC;38;185.554139;1207.165366;477.4306876;648.2166198;1015.818609;514.501996;0;203.8952117;103.3610036;465.6119547;0;0;0;0;0
RJC;39;556.662418;1839.834099;757.2031974;1467.067004;997.2545807;237.7894135;66.504913;266.1023727;167.3817529;138.8329601;300.527351;0;0;0;93.05386555
RJC;40;1072.343475;3223.039274;1838.226747;4824.707506;2865.006468;2210.361305;351.8209734;1586.879713;711.1781414;190.6167117;0;60.09100595;0;0;0
RJC;41;1900.36651;7220.115781;2302.259857;4866.562125;2261.903387;2495.58169;1297.655835;191.9133931;318.3454091;100.896826;369.3415906;0;0;0;414.0806908
RJC;42;14032.41388;5271.992129;2923.223095;3274.966433;2460.7427;4421.519358;902.2201948;0;1925.512241;109.5977945;222.0528598;0;0;0;372.2154622
RJC;43;47238.56573;5525.795045;2604.685824;7020.629724;2123.777677;2962.614558;1981.236851;291.7885355;318.6377283;450.5919962;267.2967446;91.828683;0;0;93.05386555
RJC;44;14845.49521;5652.042093;2633.239271;9066.176363;3015.451573;3974.778896;2162.480698;1065.212654;292.7868105;187.9460345;726.8806444;259.39456;0;0;0
RJC;45;14589.0763;7746.307037;3729.195229;10005.92845;4237.338863;4965.43489;1501.056398;548.0453775;1489.55971;386.9234847;980.871043;291.132237;1514.670614;0;0
RJC;46;8761.458703;10350.26539;3448.697888;9323.038899;4999.631714;4576.353988;6984.331499;1144.706944;518.9393117;51.7837516;1431.201732;132.2876565;670.3091385;565.719377;321.0268253
RJC;47;28918.89044;7264.466717;3518.057814;13130.88978;4893.012296;5269.611455;2907.57216;858.6071541;4392.268233;1920.691943;3394.433635;1493.233837;368.5109888;3862.366546;0
RJC;48;32100.62597;10531.14404;5572.591381;10640.79589;6476.681977;6498.902808;3608.042181;2329.700051;2084.227396;103.5675032;5493.573919;1053.117669;2948.513698;1652.990358;2146.111601
RJC;49;30422.10902;12243.42884;3986.374394;9261.625662;6303.357276;6451.571297;4335.154085;2000.92029;2574.463385;2859.196241;4167.42846;3596.993524;2331.137962;660.443162;2514.60856
RJC;50;11086.11507;7957.708151;6082.195752;12636.4337;10236.46817;10247.12847;6061.802941;4262.145454;5264.806236;1537.672357;8361.672039;4944.556328;4532.035567;2218.092235;3236.172188
RJC;51;12355.28387;8108.397885;5624.270192;11725.03451;10274.80742;7973.395305;5761.532956;5942.241018;7455.279882;5082.351023;10427.76518;4779.154957;4058.045524;1625.23167;2101.456213
RJC;52;16618.61811;13526.63811;4506.749884;12823.12384;8858.755809;8079.352474;8213.582727;3869.559275;6567.347576;3022.246431;7574.984259;5146.940673;4968.128752;1892.283016;388.4907672
RJC;53;13985.29029;10161.68248;9133.48066;9562.529048;9897.819331;8090.927218;7289.823918;5474.546774;9607.928696;3002.644464;9887.450158;9808.389208;3604.963545;2986.42695;5906.310045
RJC;54;13949.72041;9304.953957;6514.761554;11336.7521;8974.257223;8837.401164;8420.900862;5407.157194;7613.869688;7516.404448;7985.553994;4665.74728;5401.063305;4455.850697;5039.896309
RJC;55;15340.09233;12350.43039;10812.32154;11404.75933;12726.26793;10782.04737;8214.501602;7321.51041;5029.010916;3576.8004;8386.063616;7982.433389;5030.156037;6890.118393;9830.482692
RJC;56;13036.89142;9576.177245;8561.583894;9007.900764;9800.862751;9659.962217;9039.845733;8279.90463;7634.947763;5558.739731;7857.758097;6605.038828;5497.753645;9021.291833;3943.048206
RJC;57;10476.27107;9886.723029;9562.087902;11845.63044;9218.281591;8949.539587;5638.494323;6878.25809;10414.20361;5335.775749;7741.177813;9502.418402;9880.852144;6167.724291;14219.50067
RJC;58;14405.63464;11746.31032;10943.86662;8786.018781;9117.843326;10565.99799;9338.585354;5126.976516;9625.683833;4995.630601;8689.442399;11082.2589;7835.217304;6850.446351;11243.5922
